,latitude,longitude
0,51.5199562,-0.6483126
1,51.6425777,-1.2778205
2,51.409663,-0.1553192
3,51.5092573,0.282177
4,51.6920294,-0.3989679
5,53.2618842,-2.9186952
6,51.4499806,-0.1187476
7,52.414215,-1.7934568
8,51.5893193,-0.1196555
9,52.9690908,-1.0965693
10,51.2954033,0.4093636
11,53.3010194,-2.5802798
12,51.5461571,-0.4782322
13,50.4174783,-5.0688114
14,51.4141238,-0.2216475
15,53.6266099,-2.4397949
16,51.6625239,-0.7014516
17,53.4873723,-2.313566
18,51.4772209,-0.2063556
19,51.7321871,-1.217958
20,53.3263268,-2.2345068
21,53.2840056,-2.1218871
22,53.5973865,-2.6971753
23,51.5373184,-0.1420123
24,55.1321486,-6.6572244
25,51.5445506,-0.0681079
26,53.4528518,-2.3595558
27,52.2213093,0.1153671
28,53.4207167,-2.1875212
29,55.0483263,-1.4591456
30,52.8964253,-1.5307295
31,53.5744682,-2.1316628
32,54.0510389,-1.6985131
33,51.472637,-0.1989706
34,53.4124624,-3.0346221
35,53.5890253,-2.2246603
36,51.3831878,0.0046056
37,52.3651474,-1.78187
38,53.8308202,-1.7654526
39,52.4546165,-2.1550294
40,51.4591078,-2.5804646
41,51.3883813,0.5748904
42,52.6755207,-0.3119122
43,53.3408793,-2.594305
44,52.8229578,-0.9702321
45,50.8541425,-1.1734073
46,51.4207786,-0.6817558
47,51.418323,-0.2905179
48,54.1229698,-1.1914215
49,51.8699465,0.8771402
50,51.3346827,-0.7453615
51,51.3339167,-0.735136
52,51.5166341,-0.3347047
53,52.0295806,-1.1434079
54,51.5182796,0.1919479
55,51.3957228,-0.1603796
56,51.515673,-0.1458373
57,51.3642486,-0.1614942
58,51.4412932,0.0166376
59,52.5889393,-1.8105636
60,53.5053984,-1.3563814
61,50.708971,-3.5063474
62,52.5475304,-1.8171927
63,53.2774563,-2.9379407
64,52.9322384,-1.1275856
65,52.1097842,-2.3210884
66,55.9414979,-3.2997444
67,52.9084858,-2.8975185
68,51.7024792,-0.9098079
69,51.518921,-0.213292
70,50.9653734,-0.0844886
71,52.4863002,-1.997924
72,54.5761357,-6.0117919
73,51.6489259,-0.1473714
74,52.9109685,-1.5348885
75,53.4973974,-1.3429658
76,51.4407467,-0.1482076
77,56.106242,-3.3507471
78,51.5303653,-0.0261392
79,51.4966022,-0.0498457
80,51.5158265,-0.0243834
81,51.5025516,-0.0193672
82,51.532949,-0.0269731
83,51.4946467,-0.0498505
84,51.5097502,-0.017595
85,51.5307695,-0.0342762
86,51.5111575,-0.0183022
87,51.531508,-0.049082
88,51.5228681,-0.0193808
89,51.5036719,-0.0481083
90,51.4998502,-0.023881
91,51.5286376,-0.0272748
92,51.5091864,-0.0585222
93,51.5066802,-0.0575073
94,51.51178,-0.060821
95,51.5061372,-0.058928
96,51.5104454,-0.0628785
97,51.5089497,-0.0648731
98,51.5060386,-0.0638957
99,51.5174603,-0.0732902
100,51.4907184,-0.0488659
101,51.5277991,-0.066568
102,51.5299557,-0.0641864
103,51.5315124,-0.0621718
104,51.5149247,-0.0755014
105,51.5310077,-0.0645038
106,51.5145482,-0.0771054
107,51.5125047,-0.0787308
108,51.5209801,-0.0773507
109,51.5148918,-0.079524
110,51.4883886,-0.0567968
111,51.4886525,-0.0599276
112,51.5121167,-0.0819466
113,51.5182649,-0.0814556
114,51.5111327,-0.0822617
115,51.5163954,-0.0823866
116,51.5184875,-0.0821978
117,51.4997704,0.008332
118,51.5189884,-0.0836758
119,51.5257194,-0.080961
120,51.4824971,-0.0423442
121,51.5040223,-0.0829781
122,51.4826475,-0.0469928
123,51.5016147,-0.0825749
124,51.5143683,0.0159663
125,51.5204847,-0.0849968
126,51.5248489,-0.0829685
127,51.495428,-0.0781956
128,51.5218704,-0.0856017
129,51.4833437,-0.055933
130,51.5150448,-0.0877904
131,51.5144003,-0.0890713
132,51.5103909,-0.0890404
133,51.4948639,0.0102192
134,51.5092104,-0.0890003
135,51.5344032,0.0081568
136,51.5103739,-0.0902444
137,51.504642,-0.0889897
138,51.500255,-0.0867702
139,51.5209295,-0.0896629
140,51.5439083,-0.0616861
141,51.4939641,0.0118219
142,51.5406608,-0.0705366
143,51.4890721,0.0059913
144,51.515629,-0.0917305
145,51.4871708,0.0033875
146,51.4940971,0.0129252
147,51.5395279,0.0040129
148,51.51755022,-0.092972002
149,51.5115622,-0.0934155
150,51.515306,0.0231421
151,51.5473939,-0.0561336
152,51.5241781,-0.0914586
153,51.4767376,-0.0426652
154,51.4922767,-0.1106108
155,51.4693868,-0.1120245
156,51.4913917,-0.1064699
157,51.4846638,-0.1107562
158,51.4913079,-0.1085333
159,51.4888891,-0.0923453
160,51.47095,-0.1119528
161,51.4885212,-0.0990445
162,51.4886623,-0.1050706
163,51.4551358,-0.0764171
164,51.475561,-0.0908654
165,51.4865657,-0.0882795
166,51.4898751,-0.0971298
167,51.4734219,-0.0924402
168,51.4745704,-0.1122098
169,51.4734576,-0.1112335
170,51.4897601,-0.0944893
171,51.4904244,-0.0949607
172,51.4791752,-0.0955588
173,51.4600801,-0.0799687
174,51.4758935,-0.0890394
175,51.4734511,-0.0842342
176,51.4562292,-0.0727173
177,51.4698782,-0.1128929
178,51.4786306,-0.0710561
179,51.4678585,-0.0723287
180,51.4643928,-0.0709769
181,51.4797228,-0.1184881
182,51.4727388,-0.0650235
183,51.4781719,-0.1203961
184,51.4863767,-0.1140197
185,51.4678473,-0.1197693
186,51.4883454,-0.1149794
187,51.454543,-0.096106
188,51.4544432,-0.0971609
189,51.453236,-0.101417
190,51.4567804,-0.0709262
191,51.4523181,-0.0831473
192,51.4931073,-0.1156994
193,51.4985135,-0.0997779
194,51.4525378,-0.0746432
195,51.4989996,-0.0987058
196,51.4539291,-0.0701082
197,51.4745905,-0.1326391
198,51.4646345,-0.0545831
199,51.4523472,-0.0712544
200,51.4745889,-0.1341549
201,51.4526265,-0.1166382
202,51.4478219,-0.0920575
203,51.4593219,-0.0568417
204,51.4743014,-0.1370717
205,51.4473138,-0.0839899
206,51.4594318,-0.1299902
207,51.476625,-0.1383488
208,51.4663943,-0.1369042
209,51.4739799,-0.1394068
210,51.4893942,-0.1332167
211,51.4515645,-0.1221397
212,51.4583268,-0.1323098
213,51.4646308,-0.1379154
214,51.4621585,-0.1363281
215,51.4478001,-0.1166115
216,51.4615537,-0.1378102
217,51.4706691,0.0230624
218,51.4724807,0.0222116
219,51.4709987,0.03048
220,51.469437,0.0271852
221,51.4740859,0.0219513
222,51.4704813,0.0192978
223,51.4677153,0.0175685
224,51.4854971,0.0105271
225,51.4865336,0.009867
226,51.4865137,0.0086978
227,51.4850155,0.0070952
228,51.4853285,0.0061987
229,51.4865677,0.0057229
230,51.4836159,0.002583965
231,51.4795397,0.071677
232,51.4844343,0.0735696
233,51.457751,0.0568542
234,51.4789369,-0.011404
235,51.4763733,-0.0107982
236,51.4779998,-0.0113007
237,51.4761699,-0.0115675
238,51.5126254,0.0252717
239,51.5135813,0.0314233
240,51.4623,-0.0016465
241,51.5067533,0.0691052
242,51.4522154,0.0576154
243,51.5063609,0.0743553
244,51.5153823,0.0250465
245,51.4596738,-0.0060367
246,51.4539168,-0.0080871
247,51.4423606,0.019269
248,51.5252969,0.038203
249,51.439868,0.0251279
250,51.4414439,0.0585316
251,51.5272756,0.0309244
252,51.5255661,0.0578769
253,51.4598172,0.10005
254,51.4426506,-0.0044906
255,51.4531102,-0.0247208
256,51.4501429,0.0939333
257,51.530569,0.0555813
258,51.53186,0.0486178
259,51.5314745,0.0557374
260,51.5322464,0.0515617
261,51.4699518,-0.0423197
262,51.4313396,0.0242617
263,51.4683233,0.1171139
264,51.4074814,-0.0440545
265,51.4075817,-0.0258418
266,51.4052305,-0.0331824
267,51.4016404,-0.0389267
268,51.3997915,-0.0295786
269,51.4006009,-0.031107
270,51.4058162,-0.0273628
271,51.4264848,-0.0500903
272,51.4048735,-0.0348818
273,51.406117,-0.0372421
274,51.4075775,-0.0235172
275,51.3945517,-0.0099912
276,51.3916966,-0.0081459
277,51.4037305,0.0076678
278,51.4272771,-0.052315
279,51.3979861,0.007984
280,51.4189981,-0.0677425
281,51.379718,-0.0166128
282,51.4129946,0.0158724
283,51.4038907,0.0165818
284,51.4074876,-0.0797714
285,51.4015401,0.0183475
286,51.4094167,-0.0817036
287,51.4403961,-0.0210934
288,51.4403023,-0.0422436
289,51.4133076,-0.0848196
290,51.3759503,-0.0055102
291,51.3735834,-0.0128117
292,51.3847956,0.0136296
293,51.419137,-0.0844061
294,51.4420935,-0.0456122
295,51.3816555,0.011133
296,51.3809029,-0.0708823
297,51.443374,-0.0415139
298,51.4432867,-0.0427437
299,51.4186218,-0.0886674
300,51.4218622,-0.0871804
301,51.4448798,-0.042287
302,51.3731505,0.0010335
303,51.421272,-0.0895926
304,51.4432553,-0.0570747
305,51.4462079,-0.0462785
306,51.4468671,-0.0428209
307,51.3696525,-0.0042898
308,51.3734772,-0.0699301
309,51.4466853,-0.0540509
310,51.434204,-0.0852004
311,51.4038253,-0.1005999
312,51.4342237,-0.0864195
313,51.380444,-0.0878619
314,51.4331029,-0.0893725
315,51.4466082,-0.0668722
316,51.3658999,0.0011354
317,51.4346754,-0.0903888
318,51.3778273,-0.0906404
319,51.3996224,0.0454706
320,51.4376507,-0.0894603
321,51.4127296,0.0472422
322,51.3962118,-0.1074704
323,51.42956,-0.1021222
324,51.4396894,-0.0918172
325,51.4306969,-0.1018017
326,51.4409116,-0.0906726
327,51.4276917,-0.1050335
328,51.4466057,0.1021062
329,51.4407955,0.095623
330,51.4210553,0.0642558
331,51.419293,0.065618
332,51.4173296,0.0561039
333,51.4721433,0.1326393
334,51.4542959,0.1299375
335,51.41769813,0.069478223
336,51.4143391,0.0529084
337,51.5128457,-0.097873
338,51.5124597,-0.0985923
339,51.5118966,-0.1004748
340,51.5142163,-0.1003239
341,51.5130982,-0.1019237
342,51.5178767,-0.0960317
343,51.5205184,-0.0936873
344,51.3849873,0.0590509
345,51.3967916,0.0972453
346,51.3707392,0.0950923
347,51.3945013,0.1048656
348,51.3108842,0.0359185
349,51.3574557,0.1077749
350,51.4115876,0.075348
351,51.3664873,0.0826577
352,51.30989625,0.037156701
353,51.3119589,0.0294857
354,51.3625024,0.0951498
355,51.3615705,0.0819331
356,51.3667796,0.0741957
357,51.3758709,0.0909152
358,51.3662443,0.0591737
359,51.3904187,0.0845564
360,51.3562269,0.104996
361,51.3848494,0.0775955
362,51.343012,0.1298719
363,51.4312231,0.1218547
364,51.3988732,0.1695857
365,51.4334208,0.1216432
366,51.4003719,0.1746023
367,51.4008021,0.1819662
368,51.3472614,-0.0747367
369,51.3078587,-0.0467594
370,51.4428568,0.1408285
371,51.4431294,0.142151
372,51.4684865,0.1418277
373,51.470576,0.1480035
374,51.4800371,0.1670412
375,51.4659702,0.1456275
376,51.4571894,0.1419314
377,51.5254148,0.1796761
378,51.4538884,0.1429162
379,51.4779195,0.1871588
380,51.450632,0.1434545
381,51.5417544,0.1651411
382,51.5451516,0.1618409
383,51.5197253,0.1973508
384,51.5543587,0.126502
385,51.5498694,0.1528314
386,51.553458,0.0789987
387,51.4424201,0.1513876
388,51.5612678,0.0998877
389,51.5526187,0.0615216
390,51.5626147,0.1047629
391,51.5605774,0.0829585
392,51.5578857,0.0716145
393,51.5640324,0.0971582
394,51.5535311,0.0549408
395,51.5597638,0.0702691
396,51.566084,0.1106285
397,51.5605047,0.0681568
398,53.2294933,-0.540654
399,51.4364862,-0.8849774
400,51.4562369,-0.8532505
401,52.5939753,-1.8643504
402,53.5413486,-1.0460066
403,51.3770808,-0.0148875
404,51.6172868,-0.2689976
405,53.9626624,-2.0280276
406,53.8021527,-2.9934308
407,55.9466168,-3.2155445
408,53.4877245,-2.7694964
409,54.9009008,-1.4383081
410,51.7542612,0.5011653
411,51.5816472,0.0265549
412,52.9323413,-1.1258896
413,55.0305152,-1.4353087
414,53.0208799,-1.2963388
415,51.1401913,-0.4795713
416,51.29719,0.5664834
417,51.5191123,-0.1553511
418,51.3159271,-0.1545182
419,51.532009,-0.5739734
420,50.9182132,-1.3511225
421,53.3288552,-1.6550118
422,53.0434748,-0.3863212
423,53.4281881,-2.2332917
424,50.8892101,0.2628393
425,52.9877268,-2.0952048
426,53.3860553,-2.8381614
427,52.9201925,-1.234574
428,51.6543753,0.070677
429,57.3706918,-2.088393
430,53.3309922,-2.980559
431,51.813385,-0.3446115
432,53.3760172,-2.2237307
433,52.5031049,-1.7568958
434,51.418323,-0.2905179
435,54.6553411,-2.7559435
436,51.5282082,-0.1153261
437,51.3487731,-0.2478627
438,55.6759827,-3.7681258
439,53.03789,-1.0818292
440,52.5935108,-1.1585376
441,50.8134345,-1.95086
442,53.9260077,-1.8251896
443,52.1908846,0.1516837
444,53.463847,-2.9763427
445,50.930505,-0.2726304
446,52.5861047,-1.1191962
447,53.5382989,-1.0547512
448,51.2448127,-0.7657398
449,57.4750413,-4.2598623
450,53.2095697,-1.0079388
451,51.8401568,-2.204037
452,57.1997945,-3.8254359
453,53.766282,-1.4211508
454,51.2264815,-1.3382339
455,51.7164717,-0.0601525
456,53.8488858,-1.9575243
457,51.5247289,-0.1060243
458,51.0001919,-1.3201528
459,51.4298012,-0.9215347
460,51.5844407,0.7050046
461,54.7509789,-1.630611
462,53.6833398,-1.5279552
463,55.9280503,-4.341353
464,54.2497415,-0.7889011
465,53.8454581,-1.7859923
466,53.4006309,-2.1466746
467,52.3869022,0.2055736
468,52.7670022,-1.2868239
469,51.4325209,-3.2040318
470,55.9014344,-3.5308211
471,57.2092572,-2.1838379
472,51.4527758,-2.5883412
473,51.445499,-0.118503
474,51.4485009,-0.1228842
475,51.4326585,-0.1038655
476,51.4467467,-0.1245794
477,51.4620518,-0.0216827
478,53.4870774,-2.2543581
479,53.4866512,-2.2585091
480,53.4861886,-2.2563211
481,53.4777603,-2.2507104
482,53.4841696,-2.2621989
483,53.4801881,-2.2459331
484,53.4807036,-2.2443991
485,53.4779599,-2.244592
486,53.4789549,-2.2467999
487,53.4797231,-2.2438336
488,53.4797808,-2.2429322
489,53.4772855,-2.2367555
490,53.475062,-2.2715604
491,53.4750043,-2.2357936
492,53.4897352,-2.2570631
493,53.4852366,-2.2374753
494,53.477265,-2.2751304
495,53.4795224,-2.23279
496,53.481293,-2.23286
497,53.4769153,-2.2319598
498,53.4820278,-2.2755527
499,53.4773144,-2.2771046
500,53.4819942,-2.2823187
501,53.4837358,-2.2233474
502,53.4578635,-2.2650503
503,53.4829161,-2.2194704
504,53.458465,-2.2694067
505,53.4831764,-2.2899623
506,53.4616024,-2.278946
507,53.4569356,-2.2665511
508,53.4571388,-2.2681638
509,53.4646746,-2.2227372
510,53.5009618,-2.2452695
511,53.474997,-2.294236
512,53.4553176,-2.2700041
513,53.4757014,-2.2974947
514,53.4629749,-2.2173496
515,53.4972625,-2.2872886
516,53.4618206,-2.2144668
517,53.4533446,-2.2841322
518,53.4862,-2.3046659
519,53.4815902,-2.3076165
520,53.445156,-2.251406
521,53.455668,-2.2966471
522,53.5109619,-2.2373027
523,53.4438764,-2.2700675
524,53.4517065,-2.2120773
525,53.4965385,-2.3078159
526,53.4429388,-2.2785077
527,53.4635442,-2.1946841
528,53.44142448,-2.275364479
529,53.4422728,-2.2182378
530,53.5146508,-2.2164673
531,53.4515483,-2.3118271
532,53.4505935,-2.3131299
533,53.5222253,-2.2413629
534,53.5232768,-2.2755955
535,53.4505837,-2.3196649
536,53.4314722,-2.2362146
537,53.5107006,-2.3123352
538,53.5081329,-2.1921608
539,53.5091229,-2.1913812
