,latitude,longitude
0,53.6767994,-0.3801662
1,52.5829208,-2.1454111
2,51.5541055,-0.0979693
3,51.5135813,0.0314233
4,54.996713,-1.5809028
5,53.199448,-2.9262074
6,53.4014925,-2.1752554
7,55.8188962,-4.2902929
8,52.6242438,-1.1915714
9,51.5286376,-0.0272748
10,51.1591546,0.8836117
11,53.720185,-1.3582279
12,51.3455001,-0.250888
13,53.7473998,-2.5000124
14,52.61475,1.2597995
15,51.6748067,-3.3762423
16,53.5486684,-2.1807214
17,51.599194,-2.9809632
18,53.7570075,-0.3980748
19,55.7334639,-3.9673883
20,53.3977941,-2.9319379
21,52.4817697,-2.0364379
22,51.28820055,-2.476801467
23,51.3987158,0.4742828
24,51.5375151,-0.9031741
25,53.183778,-2.535313
26,53.818833,-1.5677956
27,51.0444779,-0.8881665
28,53.9138874,-1.9307138
29,50.924338,-0.1452818
30,54.5033546,-1.3583723
31,53.0144083,-1.2937981
32,52.1244907,0.1716123
33,52.8130541,-0.5190646
34,52.3529663,1.5111341
35,54.8809782,-1.5706324
36,56.0518259,-2.7204056
37,50.8128541,-0.3848447
38,53.3652594,-2.5753069
39,51.5628719,-0.4582387
40,52.9272777,-1.4832296
41,54.4762215,-5.9929745
42,51.6200023,-0.2445436
43,53.310571,-1.4767231
44,53.0928142,-2.2979961
45,52.6384459,1.2932792
46,51.4743037,-0.2863957
47,50.8370937,-1.2853928
48,53.1182193,-1.2572979
49,51.4328593,-2.1953102
50,53.6862365,-1.3128067
51,51.7998851,1.1299311
52,51.3972571,-2.354842
53,50.8326332,-0.1658749
54,52.0016723,-0.495227
55,50.7657251,-0.858754
56,51.4677153,0.0175685
57,52.5781832,-1.9779112
58,52.9054162,-1.4730395
59,52.4107287,-1.9813002
60,51.5666066,0.0040398
61,52.8104478,-1.6439201
62,52.1440286,-0.457905
63,50.7920815,-1.0635819
64,53.8443417,-1.636676
65,54.5518199,-1.2534716
66,53.5145601,-2.4564723
67,53.9885489,-0.9140056
68,52.3655577,-1.2669418
69,51.5178645,-3.1986717
70,52.197616,-2.1726984
71,54.9741753,-1.561029
72,52.4771178,-1.8613625
73,53.7389564,-0.1878075
74,51.5130982,-0.1019237
75,52.2450103,0.6996459
76,56.2007199,-3.1500072
77,53.3815305,-2.1964443
78,53.412988,-0.9628956
79,52.1232405,-0.9879188
80,51.531508,-0.049082
81,51.5158265,-0.0243834
82,51.5097502,-0.017595
83,51.4992033,-0.0351472
84,51.5307695,-0.0342762
85,51.5111575,-0.0183022
86,51.5303653,-0.0261392
87,51.5025516,-0.0193672
88,51.5228681,-0.0193808
89,51.4998502,-0.023881
90,51.532949,-0.0269731
91,51.4966022,-0.0498457
92,51.5036719,-0.0481083
93,51.4946467,-0.0498505
94,51.5091864,-0.0585222
95,51.5066802,-0.0575073
96,51.51178,-0.060821
97,51.5053813,-0.0579059
98,51.5061372,-0.058928
99,51.5104454,-0.0628785
100,51.5089497,-0.0648731
101,51.5060386,-0.0638957
102,51.5275188,-0.0572235
103,51.4907184,-0.0488659
104,51.5277991,-0.066568
105,51.5299557,-0.0641864
106,51.5315124,-0.0621718
107,51.5310077,-0.0645038
108,51.51381783,-0.077546241
109,51.5125047,-0.0787308
110,51.5209801,-0.0773507
111,51.5148918,-0.079524
112,51.5120236,-0.080336
113,51.4883886,-0.0567968
114,51.4886525,-0.0599276
115,51.5121167,-0.0819466
116,51.5182649,-0.0814556
117,51.5111327,-0.0822617
118,51.5163954,-0.0823866
119,51.5184875,-0.0821978
120,51.4997704,0.008332
121,51.5189884,-0.0836758
122,51.5257194,-0.080961
123,51.4824971,-0.0423442
124,51.5040223,-0.0829781
125,51.5016147,-0.0825749
126,51.5143683,0.0159663
127,51.5204847,-0.0849968
128,51.495428,-0.0781956
129,51.5218704,-0.0856017
130,51.4833437,-0.055933
131,51.5150448,-0.0877904
132,51.5144003,-0.0890713
133,51.5103909,-0.0890404
134,51.4948639,0.0102192
135,51.5092104,-0.0890003
136,51.5344032,0.0081568
137,51.5142979,-0.0905168
138,51.504642,-0.0889897
139,51.500255,-0.0867702
140,51.5209295,-0.0896629
141,51.4939641,0.0118219
142,51.5406608,-0.0705366
143,51.4890721,0.0059913
144,51.515629,-0.0917305
145,51.4871708,0.0033875
146,51.5378442,0.0060536
147,51.4940971,0.0129252
148,51.5395279,0.0040129
149,51.51755022,-0.092972002
150,51.5115622,-0.0934155
151,51.515306,0.0231421
152,51.5473939,-0.0561336
153,51.4600801,-0.0799687
154,51.4734219,-0.0924402
155,51.4885212,-0.0990445
156,51.4846638,-0.1107562
157,51.4865657,-0.0882795
158,51.4791752,-0.0955588
159,51.475561,-0.0908654
160,51.4888891,-0.0923453
161,51.4897601,-0.0944893
162,51.4734511,-0.0842342
163,51.4745704,-0.1122098
164,51.4898751,-0.0971298
165,51.472617,-0.089885
166,51.4551358,-0.0764171
167,51.4904244,-0.0949607
168,51.47095,-0.1119528
169,51.4886623,-0.1050706
170,51.4913917,-0.1064699
171,51.4758935,-0.0890394
172,51.4693868,-0.1120245
173,51.4734576,-0.1112335
174,51.4562292,-0.0727173
175,51.4922767,-0.1106108
176,51.4698782,-0.1128929
177,51.4786306,-0.0710561
178,51.4678585,-0.0723287
179,51.4643928,-0.0709769
180,51.4797228,-0.1184881
181,51.4727388,-0.0650235
182,51.4781719,-0.1203961
